Dataset |  Run   |      Run Type      |         Start Time         |         Stop Time          | Run Time | Stop Status
  3564   | 350291 |     Background     | Apr 30, 2019 17:57:54+0000 | May 01, 2019 14:11:30+0000 | 20:13:36 |   OK (0)   
  3564   | 350292 |     Background     | May 01, 2019 14:14:15+0000 | May 02, 2019 06:21:43+0000 | 16:07:28 |   OK (0)   
  3564   | 350293 |    Calibration     | May 02, 2019 14:09:54+0000 | May 03, 2019 14:00:23+0000 | 23:50:29 |   OK (0)   
  3564   | 350294 |    Calibration     | May 03, 2019 14:04:41+0000 | May 04, 2019 14:18:15+0000 | 24:13:34 |   OK (0)   
  3564   | 350295 |    Calibration     | May 04, 2019 14:20:25+0000 | May 05, 2019 14:00:08+0000 | 23:39:43 |   OK (0)   
  3564   | 350296 |    Calibration     | May 05, 2019 14:02:29+0000 | May 06, 2019 07:34:34+0000 | 17:32:05 |   OK (0)   
  3564   | 350297 |    Calibration     | May 08, 2019 17:58:38+0000 | May 09, 2019 15:02:49+0000 | 21:04:11 |   OK (0)   
  3564   | 350298 |    Calibration     | May 09, 2019 16:20:14+0000 | May 10, 2019 18:33:16+0000 | 26:13:02 |   OK (0)   
  3564   | 350299 |    Calibration     | May 17, 2019 15:30:21+0000 | May 18, 2019 12:54:47+0000 | 21:24:26 |   OK (0)   
  3564   | 350300 |    Calibration     | May 18, 2019 12:57:31+0000 | May 19, 2019 09:03:37+0000 | 20:06:06 |   OK (0)   
